,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
4742,SGP3:03,13.706666666666665,-28.19,AGN,3.3598585000000006e-14,1.2101455e-14,2.7014392e-15,9.109351e-15,5.1016861999999986e-15,,33.77793,,,,,,,16.104,15.477,12.370999999999999
4743,XMM J00560-0124,14.005833333333333,-1.4011111111111108,AGN,7.194393599999998e-14,4.126399600000001e-14,1.9669948e-14,7.844823e-15,3.4451006e-16,,206.9466,,,,,,,16.41,15.519,11.997
4744,Q 0053-0119,14.029583333333333,-1.0613888888888887,AGN,4.9261877999999987e-14,1.39584025e-14,3.122814e-16,6.2029412999999995e-15,7.436195e-15,,48.19163,20.060951,19.309520000000003,18.000345000000003,16.625,15.62,14.870999999999999,14.37,13.732999999999999,9.876
4745,XMM J00561-0126,14.039583333333333,-1.4449999999999998,AGN,1.0376595999999999e-13,7.982539000000002e-14,1.984829e-14,2.2500220000000007e-15,1.7219153e-16,,97.86835,20.802736,19.564953,18.04504,16.535999999999998,15.644,15.243,14.565999999999999,14.173,11.011
4746,SDSS J00563-0102,14.074999999999998,-1.034722222222222,AGN,4.6638819999999995e-14,8.490485e-15,1.1832182e-14,9.36994e-15,1.0531587e-14,,67.34244,,,,,,,16.107,15.913,12.427
4747,SDSS J00563+0032,14.090416666666664,0.5430555555555555,AGN,8.443510999999997e-15,2.5527520000000007e-15,8.3073175e-16,1.7034571e-15,1.3552435e-15,,26.80468,21.306875,21.122734,19.330425,,,,15.397,14.58,9.737
4748,Q 00539-2805,14.098333333333333,-27.815555555555548,AGN,9.781885e-13,5.151141e-13,1.3110806e-13,1.1577998e-13,1.227486e-13,0.15117739,818.4707,19.211817,18.836958,17.721231,16.438,15.645,15.331,13.94,13.284,10.093
4749,SDSS J00566-0026,14.154583333333333,-0.4469444444444444,AGN,2.9039553e-13,1.5955317e-13,3.557731999999999e-14,3.9368414e-14,3.1172252000000006e-14,0.16801785,766.7347,20.015520000000002,20.077751,19.084656,,,,14.692,13.613,11.089
4750,SDSS J00567-0034,14.196666666666665,-0.5766666666666665,AGN,4.0131925999999996e-14,0.0,1.3348848e-14,1.5428707e-14,4.0884095000000006e-15,,45.56279,,,,,,,16.96,15.637,11.905
4751,SDSS J00570-0105,14.249999999999998,-1.0977777777777775,AGN,2.8799527e-13,1.9655717e-13,3.9467703e-14,1.3510197e-14,1.2542128999999998e-14,,97.19344,20.279132999999998,20.32445,19.78685,,,,15.808,14.943,12.145999999999999
4752,SDSS J00571+0005,14.282916666666665,0.08888888888888888,AGN,1.2316106e-13,1.5924451000000006e-14,4.348169e-14,2.302599e-14,1.2035527e-14,,549.6476,19.000538,18.616201,17.612635,16.105,15.344000000000001,14.869000000000002,13.76,12.967,9.63
4753,Q J00573-7225,14.332916666666666,-72.4261111111111,AGN,5.879813e-13,2.7763805e-13,1.642825e-13,1.0901155e-13,2.819953799999999e-14,0.15910283,8941.255,19.354816,19.092333,17.7839,16.261,15.21,14.479000000000001,13.373,12.542,9.947000000000001
4754,SDSS J00574-0005,14.37208333333333,-0.09888888888888887,AGN,1.8999769e-14,2.6656372e-15,4.385813e-15,7.30125e-15,2.407354e-15,,69.39532,,,,,,,16.794,15.904000000000002,11.950999999999999
4755,RXS J00576-2733,14.402916666666664,-27.551111111111112,AGN,3.6589333e-14,1.4753879e-14,1.0607527e-14,5.2686046e-15,2.4859356e-15,0.44753626,398.804,,,,,,,15.921,15.355,11.931
