BeSS #,Be star,Vmag,Type,Simbad classification,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
990,HD 259440,9.12,B0pe,HMXB,,98.24688,5.80033,0.5404,-0.026,-0.428,0.102,10.6,8.879788,9.236007,8.30983,,7.025799698589425e-13,,,,6.714,0.022,6.097,0.011,5.34,0.015,4.529,0.032,7.64,0.023,7.39,0.049,6.966,0.02,,1.447,0.6298,0.7479,1.3377666854818753e-14,5.88913e-14,4.084009556265083e-13,XMM
1001,15 Mon,4.64,B1Ve,Em*,70.0,100.24442,9.89576,-1.3292,0.903,-6.446,5.228,37400.0,4.543516,4.513306,4.873792,,3.812453577240965e-11,4215.17432,2387.38159,5894.33203,6.187,0.034,5.101,0.016,5.564,0.018,5.336,0.212,5.202,0.023,5.322,0.021,5.34,0.021,26.1717,6.2549,-0.0831,0.7435,2.0690381304054093e-13,1.7516676382137584e-13,1.1908007845046598e-12,CXO
1046,19 Mon,4.99,B1Ve,V*,270.0,105.72825,-4.23923,2.6167,-4.02,2.267,0.783,706.0,4.92408,4.826459,5.088899,,2.6852143792401305e-11,370.09552,350.739471,389.366364,5.765,0.028,5.372,0.017,,,,,5.389,0.029,5.476,0.026,5.498,0.02,,,-0.7639,-0.0352,2.716280893704057e-14,3.63651e-15,3.3889548646346883e-15,XMM
1080,HD 57682,6.403,O9Ve,*,,110.50854,-8.97938,0.8968,9.659,13.159,0.516,427.0,6.374717,6.26368,6.542042,,7.058690893358441e-12,,,,7.12,0.017,7.028,0.008,6.943,0.015,5.269,0.063,6.811,0.029,6.966,0.065,6.939,0.024,,,-0.1638,-0.4096,2.349337418957162e-13,1.68816e-13,7.071384140194083e-14,XMM
1116,BN Gem,6.921,O8Vpev,Em*,362.0,114.27388,16.90425,0.5227,-1.076,-1.876,0.386,123.0,6.69375,6.619261,6.749847,,5.261516832900495e-12,,,,6.747,0.023,6.518,0.012,6.22,0.015,5.572,0.044,7.044,0.032,7.071,0.027,6.965,0.021,,,-0.4016,0.309,2.543349467753556e-14,1.08578e-14,2.056774880178405e-14,XMM
1143,V392 Pup,5.87,B7Ve,Em*,,116.54392,-37.93367,5.0296,-17.898,16.9,0.837,884.0,5.846953,5.786695,5.922387,,1.1477036535374964e-11,,,,6.14,0.021,6.086,0.009,6.196,0.015,6.106,0.05,6.03,0.019,6.1,0.04,6.107,0.018,,,-0.6528,-0.8901,2.5661252180433387e-14,5.39037e-15,3.135056203804654e-16,XMM
1161,CD-29 5159,10.71,B0Ve,Em*,,118.92704,-29.56488,0.2854,-2.654,2.892,0.107,20.4,9.938587,10.271199,9.411093,,2.649574675454885e-13,,,,8.126,0.014,7.833,0.009,8.053,0.02,7.261,0.125,9.694,0.022,9.516,0.024,9.309,0.021,,1.224,0.773,0.315,2.1571468420192387e-13,1.6848552206608412e-12,3.2344300951372346e-12,XRT
1168,V374 Car,5.81,B2IVnpe,Em*,200.0,119.71062,-60.82446,2.4707,-4.661,11.226,0.5,303.0,5.805288,5.74743,5.84821,,1.192602633869822e-11,,,,5.9516,0.0003,5.3951,0.0007,4.782,0.015,3.848,0.02,5.558,0.023,5.495,0.023,5.359,0.018,,,0.2166,0.468,2.4310955251343565e-14,3.77507e-14,1.0415655837066009e-13,XMM
1270,QR Vel,10.1,B2Vne,Em*,,140.49342,-51.17651,0.4966,-4.698,2.691,0.153,24.2,10.047013,10.232986,9.69089,,2.397760293910993e-13,,,,8.491,0.012,8.195,0.008,7.34,0.017,6.516,0.078,9.054,0.03,8.859,0.055,8.609,0.021,,,-0.413,0.637,1.1703141828386544e-13,4.8618147581478415e-14,2.1925043413465614e-13,XRT
1330,HD 90563,9.86,B2Ve,Em*,,156.46858,-58.78531,0.3977,-7.184,3.173,0.099,11.9,9.979592,10.258067,9.497045,,2.551374227089002e-13,,,,7.723,0.014,7.33,0.008,6.401,0.018,5.519,0.039,8.827,0.029,8.57,0.029,8.194,0.021,,,0.956,0.8749,2.305769800981831e-16,1.02619e-14,1.5380908363696855e-13,XMM
1373,HD 303296,9.5,B1Ve,*,,160.60433,-59.1568,0.5331,-7.448,2.875,0.344,130.0,9.559617,9.568877,9.473685,,3.756333679152626e-13,,,,9.508,0.014,9.58,0.008,8.958,,3.747,0.049,9.406,0.022,9.445,0.023,9.487,0.025,,,1.0,0.5825,0.0,7.11032334832638e-16,2.694971944553906e-15,CXO
1375,HD 93190,8.65,O9.5e,Em*,,161.08175,-59.28301,0.4141,-6.398,2.624,0.141,17.9,8.381301,8.605257,7.960076,,1.1119635827266637e-12,,,,6.594,0.069,6.217,0.03,5.631,0.023,4.707,,7.54,0.02,7.359,0.038,7.038,0.02,,,-0.431,0.0209,1.402999149814658e-14,5.578612323103241e-15,5.816788014140621e-15,CXO
1379,HD 305560,9.82,Oe,*,,161.61854,-60.5641,0.1706,-5.353,1.164,0.088,8.11,9.602126,9.825287,9.184463,,3.61210664559665e-13,,,,8.298,0.011,8.253,0.008,8.134,0.026,9.317,,8.667,0.024,8.513,0.033,8.42,0.023,,,0.906,0.771,2.6571107643459317e-12,5.387716081748239e-11,4.166657284181717e-10,XRT
1389,HD 93843,7.33,O6IIIe,V*,,162.15742,-60.22374,0.4157,-5.956,1.8,0.265,54.4,7.274279,7.249497,7.243824,,3.0824735886853934e-12,,,,7.28,0.014,7.252,0.008,6.994,0.026,5.717,0.218,7.226,0.029,7.267,0.047,7.234,0.029,64.2457,7.1349,-0.4285,0.3003,1.1913151712690913e-13,4.765648056945151e-14,8.855461170886798e-14,CXO
1411,HD 305891,10.37,B3Ve,Em*,,165.62496,-60.81552,0.4127,-6.089,1.784,0.144,20.2,10.208307,10.121664,10.015839,,2.066751036733153e-13,,,,9.7441,0.0005,9.7416,0.0011,9.432,0.286,6.773,0.187,9.915,0.033,9.87,0.035,9.859,0.027,,,0.3868,-0.0773,5.516723443663516e-15,1.24774e-14,1.0687752031230164e-14,XMM
1448,2E 1118.7-6138,12.12,O9.5IVe,HMXB,,170.23842,-61.91675,0.3293,-5.421,1.37,0.07,6.38,11.589363,12.270934,10.759902,,5.792496287987764e-14,,,,7.747,0.008,7.599,0.007,6.804,0.019,6.025,0.052,9.563,0.024,9.071,0.023,8.587,0.019,105.5,1.5022,-0.7675,-0.7211,3.036318481847458e-12,3.99497638606174e-13,6.474864814188576e-14,CXO
1451,HD 99146,8.18,B3Ve,Em*,,170.97071,-59.30481,-1.6586,-5.833,1.538,7.294,30000.0,8.042924,8.150716,7.71876,,1.5185928968462317e-12,,,,6.897,0.015,6.553,0.009,5.854,0.009,5.386,0.032,7.398,0.023,7.314,0.046,7.034,0.027,,,,1.0,0.0,0.0,4.559449959333852e-15,CXO
1456,HD 100199,8.17,B0.5IIIne,HMXB,,172.77879,-62.94693,0.5732,-6.098,1.373,0.468,136.0,8.126811,8.113963,8.075031,,1.4056803185334725e-12,1536.59802,1457.02856,1756.77222,7.89,0.009,7.87,0.008,7.625,0.044,7.041,0.121,8.048,0.023,8.067,0.031,8.009,0.029,48.8438,0.0656,-0.8488,-0.7156,1.9927592623864453e-12,1.6295144629208498e-13,2.7009936671964756e-14,CXO
1492,V801 Cen,8.94,B1Vne,Em*,,177.00008,-62.20691,0.4754,-6.226,1.598,0.114,10.1,8.652682,8.823288,8.294997,,8.660404243656121e-13,2049.01001,1985.73267,2111.28247,inf,,7.0676,0.0012,7.784,0.024,6.98,0.091,8.677,0.026,8.577,0.057,8.403,0.029,16.5067,0.8322,-0.7367,-0.2111,6.978008459642697e-12,1.0579121405168888e-12,6.890640725078941e-13,CXO
1509,V863 Cen,4.448,B6IIIe,Em*,,182.02175,-50.66127,,,,,,,,,,,,,,5.0869,0.0003,4.6333,0.0006,4.995,0.014,4.961,0.028,5.125,0.262,4.949,0.076,4.871,0.026,,,-0.4283,-0.5115,5.277838394107331e-14,2.11273e-14,6.82843418037642e-15,XMM
1510,del Cen,2.561,B2Vne,Em*,260.0,182.08958,-50.72243,5.7179,-42.613,-11.135,2.75,10100.0,2.508257,2.883904,2.631458,,2.4848956977138655e-10,182.851196,162.146988,202.104065,2.3727,0.0005,1.4822,0.0006,1.023,0.006,0.334,0.015,2.788,0.298,2.809,0.244,2.668,0.244,,,-0.6363,-0.3451,5.718900680478467e-14,1.27123e-14,6.189424909493048e-15,XMM
1537,BZ Cru,5.316,B0.5IVpe,Em*,400.0,190.70946,-63.05862,2.2826,-12.857,-3.677,0.663,549.0,5.13685,5.317963,4.793645,,2.2073487968930697e-11,443.522156,427.214355,460.941559,3.6955,0.0002,2.8133,0.0004,2.27,0.01,1.537,0.013,4.655,0.22,4.339,0.208,4.038,0.31,,,0.5884,0.6909,6.781609438990737e-13,2.61717e-12,1.4319219410658883e-11,XMM
